File,Field Type,Level,Field,Format,Length,Short,Descriptor,Comments,Values
COMMITMENT-PRGM,,2,FCP-RBT-ITEM-RATE,PS,3.04,BQ,,This is the rebate rate that is to be applied to the rebate item (if it exists on the promotion).,
COMMITMENT-PRGM,,1,FCP-FLYER-STR-DATE,N,8.0,BR,,The date the promotion starts at the retail.  This date is used in the upload system when adjusting regular and deal start and stop dates so not to interfer with the promotion.  It is also the start date for item promotion records stored on the TCI retail pricing system.  The start date must be a Saturday. If you want the start date to be a different day than Saturday contact I.S to get the edit check changed.,
COMMITMENT-PRGM,,1,FCP-FLYER-STP-DATE,N,8.0,BS,,The date the promotion stops at the retail.  This date is used in the upload system when adjusting regular and deal start and stop dates so not to interfer with the promotion.  It is also the start date for item promotion records stored on the TCI retail pricing system.  The stop date must be a Friday. If you want the stop date to be a different day than Friday contact I.S to get the edit check changed.,
COMMITMENT-PRGM,,1,FCP-SUPP-STP-DATE,N,8.0,BT,,The Default IMFS Price Promotion Supplier Stop Date.,
COMMITMENT-PRGM,,1,FCP-SUPP-STR-DATE,N,8.0,BU,,The Default IMFS Price Promotion Supplier Start Date.,
COMMITMENT-PRGM,,1,FCP-LMT-DAY-PROM-CD,A,1.0,BX,,A code used to indicate that this promotion has a limited number of days.  The promo does not follow the normal 7 days  it may only be 1 day for example.  The code is currently only used for food. * When set the code is used to bypass certain edit checks in the system and should not be used for regular promotions.,
COMMITMENT-PRGM,,1,FCP-FOOD-STORE-PROM-CD,A,1.0,CC,,A check to see if this promotion is for food stores. If set to 'Y' then customers flagged as getting food store pricing will get this promotion's pricing. Customers flagged as getting food promotions uploaded will get this promotion. Valid Values 'Y' - Yes this is a food store promotion. Blank - this is not a food store promotion.,
COMMITMENT-PRGM,,1,FCP-HDWE-STORE-PROM-CD,A,1.0,CD,,A check to see if this promo is for hardware stores. If set to 'Y' then customers flagged as getting hardware store pricing will get this promotion's pricing. Customers flagged as getting hardware promotions uploaded will get this promotion. Valid Values 'Y' - Yes this is a hardware store promotion. Blank - this is not a hardware store promotion.,
COMMITMENT-PRGM,,1,FCP-FEED-STORE-PROM-CD,A,1.0,CE,,A check to see if this promotion for feed stores. If set to 'Y' then customers flagged as getting feed store pricing will get this promotion's pricing. Customers flagged as getting feed promotions uploaded will get this promotion. Valid Values 'Y' - Yes this is a feed store promotion. Blank - this is not a feed store promotion.,
COMMITMENT-PRGM,,1,FCP-CSTORE-PROM-CD,A,1.0,CF,,A check to see if this promotion is for C-Stores. If set to 'Y' then customers flagged as getting C-Store pricing will get this promotion's pricing. Customers flagged as getting C-Store promotions uploaded will get this promotion. Valid Values 'Y' - Yes this is a C-Store store promotion. Blank - this is not a C-Store store promotion.,
COMMITMENT-PRGM,,1,FCP-CS-STORE-PROM-CD,A,1.0,CG,,A check to see if this promotion for crop supplies stores. If set to 'Y' then customers flagged as getting crop supplies store pricing will get this promotion's pricing.  Customers flagged as getting crop supplies store promotions uploaded will get this promotion. Valid Values 'Y' - Yes this is a crop supplies store promotion. Blank - this is not a crop supplies store promotion.,
COMMITMENT-PRGM,,1,FCP-COMMIT-STR-DATE,N,8.0,CH,,The starting date that the retail can place orders on this promotion,
COMMITMENT-PRGM,,1,FCP-COMMIT-STP-DATE,N,8.0,CI,,The last day the retail can place orders on this promotion.  After this date the retail orders would be rejected,
COMMITMENT-PRGM,,1,FCP-FRESH-COMMIT-STR-DATE,N,8.0,CJ,,The starting date for retails to place orders on the fresh booking system,
COMMITMENT-PRGM,,1,FCP-FRESH-COMMIT-STP-DATE,N,8.0,CK,,The final day to enter retail orders onto the fresh booking system,
COMMITMENT-PRGM,,1,FCP-BKUP-STR-DATE,N,8.0,CL,,The starting date that retails will receive promotion pricing on regular orders as backup. Retail must still be eligible for this promotion to receive backup pricing,
COMMITMENT-PRGM,,1,FCP-BKUP-STP-DATE,N,8.0,CM,,The final day that the retails will be receiving backup promotion pricing  if eligible,
COMMITMENT-PRGM,,1,FCP-FRESH-BKUP-STR-DATE,N,8.0,CN,,The starting date that retails will receive promotion pricing on fresh regular orders as backup.   Retail must still be eligible for this promotion to receive backup pricing.,
COMMITMENT-PRGM,,1,FCP-FRESH-BKUP-STP-DATE,N,8.0,CO,,The final day that the retails will be receiving fresh backup promotion pricing  if eligible.,
COMMITMENT-PRGM,,1,FCP-OMS-RSRV-STR-DATE,N,8.0,CP,,The starting date used by OMS to begin to reserve stock against commitment orders for this promotion,
COMMITMENT-PRGM,,1,FCP-OMS-RSRV-STP-DATE,N,8.0,CQ,,The final day stock will be reserved for this promotion,
COMMITMENT-PRGM,,1,FCP-OMS-RLSE-STR-DATE,N,8.0,CR,,The date on which OMS is allowed to start releasing orders on this commitment to OTM,
COMMITMENT-PRGM,,1,FCP-OMS-PROM-CD,A,1.0,CS,,Indicates if the promotion should be sent to OMS. Valid Values: 'Y' - This will be sent to OMS 'N' - This is not sent to OMS,
COMMITMENT-PRGM,,1,FCP-BARGE-PROM-CD,A,1.0,CT,,If set to 'Y' then this promotion will apply to retails that receive barge orders and are set on the CMF with that flag. Valid Values are 'Y' or blank.,
COMMITMENT-PRGM,,1,FCP-TGP-1-PROM-CD,A,1.0,CU,,If set to 'Y' then retails with the corresponding CMF flag set will get this promotion  which applies to TGP Promo AA and A Zone Valid Values are 'Y' or blank.,
COMMITMENT-PRGM,,1,FCP-TGP-2-PROM-CD,A,1.0,CV,,If set to 'Y' then retails with the corresponding CMF flag set will get this promotion  which applies to TGP Promo Y and 4 Page A Zone Valid Values are 'Y' or blank.,
COMMITMENT-PRGM,,1,FCP-TGP-3-PROM-CD,A,1.0,CW,,If set to 'Y' then retails with the corresponding CMF flag set will get this promotion  which applies to TGP warehouse market promotions. Valid Values are 'Y' or blank.,
COMMITMENT-PRGM,,1,FCP-TGP-4-PROM-CD,A,1.0,CX,,If set to 'Y' then retails with the corresponding CMF flag set will get this promotion  which applies to TGP Food Service promotions. Valid Values are 'Y' or blank.,
COMMITMENT-PRGM,,1,FCP-TGP-7-PROM-CD,A,1.0,CY,,If set to 'Y' then retails with the corresponding CMF flag set will get this promotion. Valid Values are 'Y' or blank.,
COMMITMENT-PRGM,,1,FCP-TGP-9-PROM-CD,A,1.0,CZ,,If set to 'Y' then retails with the corresponding CMF flag set will get this promotion  which applies to TGP Booking promotions. Valid Values are 'Y' or blank.,
COMMITMENT-PRGM,,1,FCP-FCL-TYP1-PROM-CD,A,1.0,DD,,If set to 'Y' then retails with the corresponding CMF flag set will get this promotion. Valid Values are 'Y' or blank.,
COMMITMENT-PRGM,,1,FCP-FCL-TYP2-PROM-CD,A,1.0,DI,,If set to 'Y' then retails with the corresponding CMF flag set will get this promotion. Valid Values are 'Y' or blank.,
COMMITMENT-PRGM,,1,FCP-FCL-TYP3-PROM-CD,A,1.0,DJ,,If set to 'Y' then retails with the corresponding CMF flag set will get this promotion. Valid Values are 'Y' or blank.,
COMMITMENT-PRGM,,1,FCP-FCL-TYP4-PROM-CD,A,1.0,DK,,If set to 'Y' then retails with the corresponding CMF flag set will get this promotion. Valid Values are 'Y' or blank.,
COMMITMENT-PRGM,,1,FCP-FCL-TYP5-PROM-CD,A,1.0,DL,,If set to 'Y' then retails with the corresponding CMF flag set will get this promotion. Valid Values are 'Y' or blank.,
COMMITMENT-PRGM,,1,FCP-BTB-BK-CD,A,1.0,DP,,THIS FLAG WILL BE USED BY THE B2B DEVELOPEMENT TEAM TO DETERMINE IF THE PROMO IS TO BE DISPLAYED ON THE B2B PLATFORM FOR RETAILS TO ORDER. VALID VALUES ARE: Y - APPEAR ON B2B  N - DO NOT APPEAR ON B2B.,
COMMITMENT-PRGM,PE,1,FCP-WRAP-FCM-INFO,,0.0,DM,,,
COMMITMENT-PRGM,,2,FCP-WRAP-FCM-NO,N,6.0,DN,,Flyer Wrap customer account numbers that are be the only accounts allowed to order under this promotion (controlled by OMS).,
COMMITMENT-PRGM,,2,FCP-WRAP-FCM-LOC-NO,N,3.0,DO,,Flyer Wrap customer account locations that are be the only accounts allowed to order under this promotion (controlled by OMS).,
COMMITMENT-PRGM,,1,SYSF-UNIQUE-CREATE-DATE-TIME,N,20.0,Z1,D,Unique date time that record was created in file  format: Z'YYYYMMDDHHIISSXXXXXX' with microsecond precision,
COMMITMENT-PRGM,SP,1,FCP-DPT-MAJOR-PROM-CD,A,4.0,S1,D,SUPER-DESCRIPTOR COMSISTING OF FDS-DPT-NO FCP-MAJOR-PROM-CD,
RETAIL-GL-INDEX,GR,1,RGI-GRP,,0.0,AA,,Group heading for the Retail Gl Index,
RETAIL-GL-INDEX,,2,RMM-RTL-NO,N,5.0,AB,,The customer number for the retail as assigned by FCL. It consists of a four digit number plus a check digit.,
RETAIL-GL-INDEX,,2,RGI-NO,N,13.0,AC,,THE CODE ASSIGNED TO EACH GENERAL LEDGER ACCOUNT.,
RETAIL-GL-INDEX,,2,RGI-STAT,A,1.0,AD,,A code indicating the status of the retail GLI record. Valid values:   A - Active   D - Delete * ****************************** THE FOLLOWING IS FOR FCL USE: *   T - TEMPORARY INVENTORY       RECORD (RSS504)   U - TEMPORARY INVENTORY       record. Copy of the 'T'       record. Used to make       RESTARTS EASIER (RSS510),
RETAIL-GL-INDEX,,2,RGI-STAT-DATE,N,8.0,AE,,The date the retail GLI record was established.,
RETAIL-GL-INDEX,,2,RGI-RECV-NO,N,7.0,AM,,The next receiving number to be  assigned to a receiving book entry.,
RETAIL-GL-INDEX,,2,RGI-RECV-BK-TYP-CD,A,1.0,AV,,This code describes the type of Receiving Book this GL is set up for. Valid Values Include:   ' ' - No Receiving Book   'R' - Retail Receiving Book   'P' - Petroleum Receiving         Book,
RETAIL-GL-INDEX,,2,RGI-RECV-BK-LOCK-CD,A,1.0,AQ,,A code to indicate if the receiving book for this GL is locked. A receiving book is locked when the period end Outstanding List is run. The receiving book is unlocked when the Final Statements are run for the period. A locked receiving book prevents a user from receiving anything into a previous period and changing any entries revceived into a previous period. Valid Values: 'Y' - Locked ' ' - Not locked.,
RETAIL-GL-INDEX,,2,RGI-RECV-BK-STR-DATE,N,8.0,AP,,This is the date which a retail is scheduled to start maintaining a receiving book. This date must be the first day of an accounting period and must be in the future.,
RETAIL-GL-INDEX,,2,RGI-CBP-LINK-NO,N,4.0,AT,,The link number used for matching Corporate Bulk Plant receiving book records to GL.,
RETAIL-GL-INDEX,,2,RGI-AUTO-EXPOINT-CD,A,1.0,AU,,A code to indicate if this receiving book is to have automatic receiving book records created from expoint invoices.,
RETAIL-GL-INDEX,,2,RGI-LOCK-CD,A,1.0,AF,,A code used to lock a GL code thus disallowing any postings from being made to it. Valid values:    N - NOT LOCKED (DEFAULT).    Y - Locked. No postings        allowed.,
RETAIL-GL-INDEX,,2,RGI-MATCH-CD,A,1.0,AG,,A code indicating if this GL code is used for matching. NOTE: CURRENTLY NOT BEING USED,
RETAIL-GL-INDEX,,2,RGI-MATCH-REFER-NO,N,8.0,AO,,The reference number that links one or more purchase GL transacation on the retail-gl-master file to one or more receiving book entries All records that are matched together will have the same reference number. GL matched without a receiving book have this field set to: 99999999 - Manually matched   with no RB record 99999998 - Before RB start dte 99999997 - Special Vendor mtch 99999996 - GL amount of zero 99999995 - Auto Kardlock Tran,
RETAIL-GL-INDEX,,2,RGI-TRNSF-NO,N,6.0,AI,,     TRANSFER CODE A code used to identify where expenses will appear on the operating statement(s). - used for other income   / charges  department    vehicle and building   occupancy expenses. - always leave blank for   Balance Sheet  Sales and   Purchase accounts.,
RETAIL-GL-INDEX,,2,RGI-CR-ACCUM-NO,N,3.0,AJ,,  BALANCE SHEET ACCUMULATOR: A number used to consolidate and position entries on the balance sheet. - used only on balance sheet   accounts. - all gl codes that are to be   combined and appear on the   balance sheet as a single   item must have the same BSA. - accounts are printed on the   balance sheet in the   numerical seq. of the BSA.,
RETAIL-GL-INDEX,,2,RGI-DR-ACCUM-NO,N,3.0,AK,,  OPERATING STATEMENT ACCUM: A number used to consolidate GL codes on a level II consolidated operating statement. All GL codes beginning with 7 8  9 and having the same operating statment accumulator will be combined on a level II consolidated operating statement. Note that this number is also used to consolidate information on the Sales & Productivity Report.,
RETAIL-GL-INDEX,GR,1,RGI-DESC-GRP,,0.0,BA,,Group heading for the index descriptions.,
RETAIL-GL-INDEX,,2,RGI-DESC,A,35.0,BB,,A description of what the GL code signifies.,
RETAIL-GL-INDEX,,2,RGI-RGN-NAME,A,12.0,BC,,Location name that applies to the GL Code. * Leave blank for Sundry Income/ Charges codes and all Balance Sheet accounts except inventories (0150's),
RETAIL-GL-INDEX,,2,RGI-DPT-NAME,A,23.0,BD,,Department name that applies to the GL Code. - leave blank for all balance   sheet accts except   inventories (0150's) and   codes with subledgers. - leave blank for sundry   income/charges and interest   codes. - must be the same for all   sales  purchase  expense and   inventory codes in a   particular department.,
RETAIL-GL-INDEX,GR,1,RGI-INVT-GRP,,0.0,CA,,Group heading for the inventory information.,
RETAIL-GL-INDEX,,2,RGI-CLOSE-INVT-CD,A,1.0,CB,,  CALC INVENTORY: A code indicating whether or not to calculate a closing inventory when calculating THE GROSS MARGINS. DEFAULTS TO Y. SET TO N FOR GL CODES WITH NO INVENTORY  EG. LABOUR  CAR WASH  ETC.,
RETAIL-GL-INDEX,,2,RGI-INVT-NO,N,5.0,CC,,  NUMBER OF INVENTORIES: The number of inventories used to calculate the average inventory in the inventory turns calculations.,
RETAIL-GL-INDEX,,2,RGI-ACCUM-INVT-QTY,PS,11.02,CD,,  ACCUM INVENTORY QUANT: The accumulated inventory quantity for the last year. Used in the inventory turns calculation.,
RETAIL-GL-INDEX,,2,RGI-LAST-INVT-DATE,N,8.0,CE,, LAST ACTUAL INVENTORY DATE: Used in determining margin % to be used on statement. If period end date  uses inventory value and calculates a margin %. If non period end date  uses inventory margin rate shown.,
RETAIL-GL-INDEX,,2,RGI-LAST-INVT-QTY,PS,11.02,CF,,  LAST ACTUAL INVENTORY: The last actual or estimated inventory. If inventory date is a period end date  inventory value is used to calculate an actual margin. If a non period date is used  key estimated inventory value and inventory margin rate. System uses margin rate on financial statement and estimated inventory value in calculation of inventory turns.,
RETAIL-GL-INDEX,,2,RGI-LAST-MGN-RATE,PS,1.04,CG,,Used for estimating margin on financial statement. This field is automatically updated from RGMU Gross Margin Calculation Menu Option 2. No further update is needed. If a change is to be done to this field  enter margin % non period end date and estimated inventory value if not using actual margin. Leave blank if using period cutoff date and running at actual margin. 4 decimal places  eg. 10% is entered as .1000.,
RETAIL-GL-INDEX,,2,RGI-DISC-RATE,PS,1.04,CH,,  DISCOUNT RATE: Rate used to calculate inventory cost amount from the Retail amount. Use 4 decimal places. EG. Enter 20% as 0.2000,
RETAIL-GL-INDEX,,2,RGI-YREND-MGN-RATE,PS,1.04,CI,,The gross margin rate for period 13 of the previous year. Automatically updated when period 13 finalized. No update allowed.,
RETAIL-GL-INDEX,,2,RGI-CALC-TURNS-CD,A,1.0,CJ,,A code indicating whether or not to calculate Inventory turns on this GL Code in the Gross Margin System.,
RETAIL-GL-INDEX,,2,RGI-LAST-STMT-MGN-RATE,PS,1.04,CK,,This is the actual margin rate used on the last Financial Statement.,
RETAIL-GL-INDEX,PE,1,RGI-COST-CENTRE-TBL,,0.0,DA,,Group of cost centres and rates.,
RETAIL-GL-INDEX,,2,RGI-COST-CENTRE-NO,N,5.0,DB,,Location/department to which the cost will be allocated.,
RETAIL-GL-INDEX,,2,RGI-COST-CENTRE-RATE,PS,1.04,DC,,Rate at which the cost will be allocated. I.E. (100% = 1.0000),
RETAIL-GL-INDEX,,1,RGI-UPDT-DATE,N,8.0,EA,,Indicates when the GL code was last updated. This applies to inventory codes only.,
RETAIL-GL-INDEX,,1,RGI-UPDT-USER-ID,A,8.0,AL,,Name of the last user/program to update any of the fields in the RGI-INVT-GRP.,
RETAIL-GL-INDEX,,1,RGI-DELV-ALLOW-RATE,PS,1.03,AW,,Delivery charge rate is the rate used to calculate the delivery charge expense on the reversing journal entry for the petroleum RCBK outstanding list for retail to retail contracts. Enter in cents per litre  for example  a rate of 2 cents per litre should be keyed as 0.020.,
RETAIL-GL-INDEX,,1,RGI-PAT-BAL-CD,A,1.0,AX,,This indicates whether or not the GL code is used when balancing GL to patronage. * Valid Values: Y or N,
RETAIL-GL-INDEX,,1,RGI-POST-INVT-CD,A,1.0,AY,,Specifies where adjustments due to forcing of margin from actual to the % to be used on the period statement will be posted. * I - inventory account(s) P - purchase account(s) * Shown in RGI for information only. The value can be changed using RGMU Option 1/Option 8.,
RETAIL-GL-INDEX,,1,SYSF-UNIQUE-CREATE-DATE-TIME,N,20.0,Z1,D,Unique date time that record was created in file  format: Z'YYYYMMDDHHIISSXXXXXX' with microsecond precision,
RETAIL-GL-INDEX,SP,1,RGI-RTL-RGI-NO,A,19.0,S1,D,super contains rgi-stat rmm-rtl-no rgi-no If status is not required  use super RGI-RTL-RGI-NO-SP,
RETAIL-GL-INDEX,SP,1,RGI-RECV-RTL-RGI,A,19.0,S2,D,Super Descriptor  - Rgi-Recv-Bk-Cd  - Rmm-Rtl-No  - Rgi-no,
CMF-ACCT-INFO,,1,GEN-LAST-UPDT-DATE-TIME,T,0.0,KI,,This field is used to hold DATE & TIME for record contention processing.,
CMF-ACCT-INFO,,1,FCM-NO,N,6.0,AA,,The account number of a customer with FCL. * Please note this number does not include the retail check digit.,
CMF-ACCT-INFO,,1,FCM-LOC-NO,N,3.0,AB,,Customer location identifies each facility associated with the FCL customer number. Assigned by FCL. 00 - Identifies constant      (Parent or Accounting)      information. 01 THRU 999 -      identifies each of      the customers physical      (Ship to) locations.,
CMF-ACCT-INFO,,1,FCM-CURR-BAL-AMT,PS,9.02,LK,,The customer's current balance  in the current statement period ************ This field is modified via a interface from JDE,
CMF-ACCT-INFO,,1,FCM-PAST-DUE-AMT,PS,9.02,LL,,The amount past due to the current statement period based on today's date ************ This field is modified via a interface from JDE,
CMF-ACCT-INFO,,1,FCM-RTL-JDE-CD,A,1.0,LP,,THIS FIELD INDICATES WHETHER A RETAIL HAS TRANSITIONED TO CORE FINANCIAL SYSTEMS (JDE). VALID VALUES:  ' ' - MAINFRAME  'Y' - JDE,
CMF-ACCT-INFO,,1,FCM-RTL-JDE-DATE,N,8.0,LQ,,THE DATE THAT THIS RETAIL CONVERTED TO CORE FINANCIAL SYSTEMS (JDE).,
CMF-ACCT-INFO,GR,1,FCM-STAT-GRP,,0.0,C1,,A grouping of the customer status information in the constant section of the CMF record.,
CMF-ACCT-INFO,,2,FCM-STAT,A,1.0,AC,,Describes the status of the customers location: Valid values: 'CLOSED' - customer has credit       cancelled. 'OPEN'   - customer has no       credit restrictions. 'RESTRICTED' - customer is  temporarily credit restricted,
